FileName, Size,DateModified
         ca_subCA_das_2019012915.nc,31.29 Mbytes,2019-01-30T00:55:49Z
         ca_subCA_das_2019012909.nc,31.29 Mbytes,2019-01-29T21:55:48Z
         ca_subCA_das_2019012903.nc,31.29 Mbytes,2019-01-29T10:46:02Z
         ca_subCA_das_2019012821.nc,31.29 Mbytes,2019-01-29T03:45:27Z
         ca_subCA_das_2019012815.nc,31.29 Mbytes,2019-01-29T00:52:24Z
         ca_subCA_das_2019012809.nc,31.29 Mbytes,2019-01-28T21:56:05Z
         ca_subCA_das_2019012803.nc,31.29 Mbytes,2019-01-28T10:45:39Z
         ca_subCA_das_2019012721.nc,31.29 Mbytes,2019-01-28T03:45:19Z
         ca_subCA_das_2019012715.nc,31.29 Mbytes,2019-01-28T00:55:27Z
         ca_subCA_das_2019012709.nc,31.29 Mbytes,2019-01-27T21:55:32Z
         ca_subCA_das_2019012703.nc,31.29 Mbytes,2019-01-27T10:45:50Z
         ca_subCA_das_2019012621.nc,31.29 Mbytes,2019-01-27T03:45:42Z
         ca_subCA_das_2019012615.nc,31.29 Mbytes,2019-01-27T00:55:32Z
         ca_subCA_das_2019012609.nc,31.29 Mbytes,2019-01-26T21:55:51Z
         ca_subCA_das_2019012603.nc,31.29 Mbytes,2019-01-26T10:46:14Z
         ca_subCA_das_2019012521.nc,31.29 Mbytes,2019-01-26T03:45:51Z
         ca_subCA_das_2019012515.nc,31.29 Mbytes,2019-01-26T00:55:19Z
         ca_subCA_das_2019012509.nc,31.29 Mbytes,2019-01-25T21:56:00Z
         ca_subCA_das_2019012503.nc,31.29 Mbytes,2019-01-25T10:45:43Z
         ca_subCA_das_2019012421.nc,31.29 Mbytes,2019-01-25T03:45:19Z
         ca_subCA_das_2019012415.nc,31.29 Mbytes,2019-01-25T00:52:26Z
         ca_subCA_das_2019012409.nc,31.29 Mbytes,2019-01-24T21:55:33Z
         ca_subCA_das_2019012403.nc,31.29 Mbytes,2019-01-24T10:45:25Z
         ca_subCA_das_2019012321.nc,31.29 Mbytes,2019-01-24T03:45:12Z
         ca_subCA_das_2019012315.nc,31.29 Mbytes,2019-01-24T00:55:22Z
         ca_subCA_das_2019012309.nc,31.29 Mbytes,2019-01-23T21:55:31Z
         ca_subCA_das_2019012303.nc,31.29 Mbytes,2019-01-23T10:45:12Z
         ca_subCA_das_2019012221.nc,31.29 Mbytes,2019-01-23T03:45:15Z
         ca_subCA_das_2019012215.nc,31.29 Mbytes,2019-01-23T00:52:11Z
         ca_subCA_das_2019012209.nc,31.29 Mbytes,2019-01-22T21:55:33Z
         ca_subCA_das_2019012203.nc,31.29 Mbytes,2019-01-22T10:45:11Z
         ca_subCA_das_2019012121.nc,31.29 Mbytes,2019-01-22T03:45:20Z
         ca_subCA_das_2019012115.nc,31.29 Mbytes,2019-01-22T00:51:55Z
         ca_subCA_das_2019012109.nc,31.29 Mbytes,2019-01-21T23:09:13Z
